collab_id,project_upid,project_name,country,country_code,registry,methodology,role,org_name_raw,company_name_resolved,company_country,org_type,website,linkedin,contact_name,contact_role,contact_email,confidence,source_url,notes
C0102,UP-MY062878-1,"Magenko Renewables (Penang) Wastewater Methane Avoidance and Energy Generation Project, Malaysia",Malaysia,MY,CDM,AMS-I.C. 19.0; AMS-III.H. 16.0,verifier (VVB),Det Norske Veritas- CUK,,,,,,,,,,,
C0103,UP-TH966753-7,Kaona Power Supply Biomass Cogeneration Project,Thailand,TH,CDM,ACM0006,developer,"Kaona Power Supply Co., Ltd.",,,,,,,,,,,
C0104,UP-TH966753-7,Kaona Power Supply Biomass Cogeneration Project,Thailand,TH,CDM,ACM0006,verifier (VVB),RINA Services S.p.A. (RINA),,,,,,,,,,,
C0105,UP-TH966814-4,Wastewater Treatment with Biogas System (UASB) in a starch Plant for Energy & Environment,Thailand,TH,CDM,AM0013,developer,"Sima Interproduct Co.,Ltd.",,,,,,,,,,,
C0106,UP-TH966814-4,Wastewater Treatment with Biogas System (UASB) in a starch Plant for Energy & Environment,Thailand,TH,CDM,AM0013,verifier (VVB),Det Norske Veritas- CUK,,,,,,,,,,,
C0107,UP-MY062806-8,Sahabat Empty Fruit Bunch Biomass Project,Malaysia,MY,CDM,AMS-I.C. 7.0,developer,Felda Palm Industries Sdn. Bhd.,,,,,,,,,,,
C0108,UP-MY062806-8,Sahabat Empty Fruit Bunch Biomass Project,Malaysia,MY,CDM,AMS-I.C. 7.0,verifier (VVB),SGS United Kingdom Limited (SGS),,,,,,,,,,,
C0109,UP-ID000342-1,Mahkota Andalan Sawit Composting Project,Indonesia,ID,CDM,AM0025 13.0.0,developer,PT. Mahkota Andalan Sawit,,,,,,,,,,,
C0110,UP-ID000342-1,Mahkota Andalan Sawit Composting Project,Indonesia,ID,CDM,AM0025 13.0.0,verifier (VVB),RWTÜV GmbH,,,,,,,,,,,
C0111,UP-SG000010-7,Climate Action Response Enterprise (CARE) for Energy Efficiency in Chiller Plants,Singapore,SG,CDM,AMS-II.E. ver. 10,developer,Climate Resources Exchange (CRX),,,,,,,,,,,
C0112,UP-SG000010-7,Climate Action Response Enterprise (CARE) for Energy Efficiency in Chiller Plants,Singapore,SG,CDM,AMS-II.E. ver. 10,verifier (VVB),Bureau Veritas Certification Holding SAS (BVCH),,,,,,,,,,,
