collab_id,project_upid,project_name,country,country_code,registry,methodology,role,org_name_raw,company_name_resolved,company_country,org_type,website,linkedin,contact_name,contact_role,contact_email,confidence,source_url,notes
C0034,UP-VN001231-3,"DakRTih Hydropower Project, Vietnam",Vietnam,VN,CDM,ACM0002 11.0,verifier (VVB),Swiss Association for Quality and Management Systems,SQS,,certification body,https://aws.amazon.com/sqs/,https://www.linkedin.com/company/sqsspain,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: 4537.0),Matched via IGES CDM DB (Ref: 4537.0). Validated DOE.
C0035,UP-ID000269-0,"Hutama Green Energy Methane Capture and Utilization Project at Starch Tapioca Bandar Mataram, Central Lampung, Indonesia",Indonesia,ID,CDM,ACM0014 4.1.0,developer,PT. Hutama Global Energy,PT. Hutama Global Energy,Indonesia,private company,https://id.linkedin.com/company/huglobs,,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: 4379.0),Matched via IGES CDM DB (Ref: 4379.0).
C0036,UP-ID000269-0,"Hutama Green Energy Methane Capture and Utilization Project at Starch Tapioca Bandar Mataram, Central Lampung, Indonesia",Indonesia,ID,CDM,ACM0014 4.1.0,verifier (VVB),RWTÜV GmbH,RWTUV,,certification body,https://www.rwtuev.de/en/,https://vn.linkedin.com/company/troxmalaysia?trk=public_profile_experience-item_profile-section-card_subtitle-click,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: 4379.0),Matched via IGES CDM DB (Ref: 4379.0). Validated DOE.
C0037,UP-TH966726-1,"C.P.A.T tapioca processing wastewater biogas extraction and utilization project, Nakhonratchasima Province, Kingdom of Thailand",Thailand,TH,CDM,AM0022,developer,Corn Products Amardass (Thailand) Ltd.,Corn Products Amardass (Thailand) Ltd.,Thailand,private company,https://www.thic.or.th/en/trader/detail/29759,,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: nan),Matched via IGES CDM DB (Ref: nan).
C0038,UP-TH966726-1,"C.P.A.T tapioca processing wastewater biogas extraction and utilization project, Nakhonratchasima Province, Kingdom of Thailand",Thailand,TH,CDM,AM0022,verifier (VVB),Det Norske Veritas- CUK,DNV,,certification body,https://www.dnv.us/,https://no.linkedin.com/company/dnv,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: nan),Matched via IGES CDM DB (Ref: nan). Validated DOE.
C0039,UP-TH966782-2,Sangpetch Tapioca Flour Wastewater Treatment and Energy Generation Project in Thailand,Thailand,TH,CDM,AMS-I.C.; AMS-I.D.; AMS-III.H.,developer,"Mama Development Co.,Ltd","Mama Development Co.,Ltd",Thailand,private company,https://mama.co.th/en/index.php,,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: nan),Matched via IGES CDM DB (Ref: nan).
C0040,UP-TH966782-2,Sangpetch Tapioca Flour Wastewater Treatment and Energy Generation Project in Thailand,Thailand,TH,CDM,AMS-I.C.; AMS-I.D.; AMS-III.H.,verifier (VVB),SGS United Kingdom Limited (SGS),SGS,,certification body,https://www.sgs.com/en-us,https://www.linkedin.com/company/sgs/,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: nan),Matched via IGES CDM DB (Ref: nan). Validated DOE.
C0041,UP-ID000355-5,Biogas recovery from wastewater treatment in PT. Umbul Mas Wisesa Palm Oil Mill,Indonesia,ID,CDM,AMS-III.H. 16.0,developer,PT Umbul Mas Wisesa,PT Umbul Mas Wisesa,Indonesia,private company,https://rspo.org/uploads/default/pnc/PT_Umbul_Mas_Wisesa_certificate_RSPO_PC_ASA_2.pdf,,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: 9197.0),Matched via IGES CDM DB (Ref: 9197.0).
C0042,UP-ID000355-5,Biogas recovery from wastewater treatment in PT. Umbul Mas Wisesa Palm Oil Mill,Indonesia,ID,CDM,AMS-III.H. 16.0,verifier (VVB),SIRIM QAS INTERNATIONAL SDN.BHD (SIRIM),SIRIM,,certification body,http://www.sirim.my/,https://my.linkedin.com/company/sirim-berhad,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: 9197.0),Matched via IGES CDM DB (Ref: 9197.0). Validated DOE.
C0043,UP-MY062861-0,Maju Intan Biomass Energy Power Plant Project,Malaysia,MY,CDM,AMS-I.D. 17.0; AMS-III.E. 16.0,developer,Maju Intan Biomass Energy Sdn. Bhd.,Maju Intan Biomass Energy Sdn. Bhd.,Malaysia,private company,https://cdm.unfccc.int/Projects/DB/SIRIM1341890709.24/view?cp=1,https://www.linkedin.com/company/atlaskotesdnbhd,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: 6636.0),Matched via IGES CDM DB (Ref: 6636.0).
C0044,UP-MY062861-0,Maju Intan Biomass Energy Power Plant Project,Malaysia,MY,CDM,AMS-I.D. 17.0; AMS-III.E. 16.0,verifier (VVB),SIRIM QAS INTERNATIONAL SDN.BHD (SIRIM),SIRIM,,certification body,http://www.sirim.my/,https://my.linkedin.com/company/sirim-berhad,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: 6636.0),Matched via IGES CDM DB (Ref: 6636.0). Validated DOE.
C0045,UP-ID000159-3,"Organic Waste Composting at PTS Palm Oil Mill, Indonesia",Indonesia,ID,CDM,AM0039,developer,PT. Prakarsa Tani Sejati,PT. Prakarsa Tani Sejati,Indonesia,private company,https://www.bloomberg.com/profile/company/340221Z:IJ,https://id.linkedin.com/company/revolutionmindindonesia,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: nan),Matched via IGES CDM DB (Ref: nan).
C0046,UP-ID000159-3,"Organic Waste Composting at PTS Palm Oil Mill, Indonesia",Indonesia,ID,CDM,AM0039,verifier (VVB),TÜV Rheinland (China) Ltd. (TÜV Rheinland),TUEV-RHEIN,,certification body,https://www.tuv.com/world/en/,,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: nan),Matched via IGES CDM DB (Ref: nan). Validated DOE.
C0047,UP-VN001217-1,Song Ong Hydropower Project,Vietnam,VN,CDM,AMS-I.D. 16.0,developer,Song Ong Hydropower Joint Stock Company,"Song Ong Hydropower Joint Stock Company
Energy and Environment Consultancy Joint Stock Company",Viet Nam,private company,https://cdm.unfccc.int/Projects/DB/RWTUV1289918487.21/view?cp=1,,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: 4117.0),Matched via IGES CDM DB (Ref: 4117.0).
C0048,UP-VN001217-1,Song Ong Hydropower Project,Vietnam,VN,CDM,AMS-I.D. 16.0,verifier (VVB),RWTÜV GmbH,LGAI,,certification body,https://huggingface.co/LGAI-EXAONE,https://kr.linkedin.com/company/lgairesearch,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: 4117.0),Matched via IGES CDM DB (Ref: 4117.0). Validated DOE.
C0049,UP-LA000058-1,Houay Lamphan Gnai Hydropower Project,Laos,LA,CDM,ACM0002,developer,"Electricite du Laos, Lao PDR","Electricite du Laos, Lao PDR",Lao PDR,private company,https://en.wikipedia.org/wiki/%C3%89lectricit%C3%A9_du_Laos,,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: nan),Matched via IGES CDM DB (Ref: nan).
C0050,UP-LA000058-1,Houay Lamphan Gnai Hydropower Project,Laos,LA,CDM,ACM0002,verifier (VVB),TÜV Rheinland (China) Ltd. (TÜV Rheinland),JCI,,certification body,https://www.johnsoncontrols.com/,https://www.linkedin.com/company/junior-chamber-international,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: nan),Matched via IGES CDM DB (Ref: nan). Validated DOE.
C0051,UP-ID000300-1,"Methane Recovery in Wastewater Treatment and its utilization for Thermal Energy at PT Indah Kiat Pulp & Paper, Serang",Indonesia,ID,CDM,AMS-I.C. 19.0; AMS-III.H. 16.0,developer,"PT. Indah Kiat Pulp & Paper, Tbk","PT. Indah Kiat Pulp & Paper, Tbk",Indonesia,private company,https://indahkiat.co.id/,https://www.linkedin.com/company/pt-indah-kiat-pulp-paper-tbkofficial,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: 6619.0),Matched via IGES CDM DB (Ref: 6619.0).
C0052,UP-ID000300-1,"Methane Recovery in Wastewater Treatment and its utilization for Thermal Energy at PT Indah Kiat Pulp & Paper, Serang",Indonesia,ID,CDM,AMS-I.C. 19.0; AMS-III.H. 16.0,verifier (VVB),RINA Services S.p.A. (RINA),RINA,,certification body,https://www.rina.online/,https://www.linkedin.com/company/rina-north-america,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: 6619.0),Matched via IGES CDM DB (Ref: 6619.0). Validated DOE.
C0053,UP-ID000331-4,Bontang N2O Abatement Project,Indonesia,ID,CDM,ACM0019 1.0.0,developer,PT Kaltim Nitrate Indonesia,PT Kaltim Nitrate Indonesia,Indonesia,private company,https://www.kni.co.id/,https://id.linkedin.com/company/kaltim-nitrate-indonesia,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: 7810.0),Matched via IGES CDM DB (Ref: 7810.0).
C0054,UP-ID000331-4,Bontang N2O Abatement Project,Indonesia,ID,CDM,ACM0019 1.0.0,verifier (VVB),RWTÜV GmbH,RWTUV,,certification body,https://www.rwtuev.de/en/,https://vn.linkedin.com/company/troxmalaysia?trk=public_profile_experience-item_profile-section-card_subtitle-click,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: 7810.0),Matched via IGES CDM DB (Ref: 7810.0). Validated DOE.
C0055,UP-TH966719-0,Biomass thermal and electricity generation project for Thai Urethane Plastic,Thailand,TH,CDM,AMS-I.C.; AMS-I.D.,developer,"TUP Energy Co., Ltd.","TUP Energy Co., Ltd.
Thai Urethane Plastics Co., Ltd.",Thailand,private company,https://www.linkedin.com/company/thai-urethane-plastic-co-ltd,,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: nan),Matched via IGES CDM DB (Ref: nan).
